Method,Path,Visibility,Public Facing,Ambiguous,Categories,Security Warnings,folder,File Path,Line Number,Occurrences,Notes
GET,/api/products,external,yes,no,product,none,frontend,src/frontend/pages/api/products/index.ts,N/A,1,Lists all products in the catalogue; calls product-catalog gRPC ListProducts
GET,/api/products/[productId],external,yes,no,product,none,frontend,src/frontend/pages/api/products/[productId].ts,N/A,1,Gets a single product by ID; calls product-catalog gRPC GetProduct
GET,/api/cart,external,yes,no,cart,none,frontend,src/frontend/pages/api/cart.ts,N/A,1,Returns the current user cart; calls cart gRPC GetCart using session userId
POST,/api/cart,external,yes,no,cart,none,frontend,src/frontend/pages/api/cart.ts,N/A,1,Adds an item to cart; calls cart gRPC AddItem
DELETE,/api/cart,external,yes,no,cart,none,frontend,src/frontend/pages/api/cart.ts,N/A,1,Empties the cart; calls cart gRPC EmptyCart
POST,/api/checkout,external,yes,no,checkout|payment|shipping,none,frontend,src/frontend/pages/api/checkout.ts,N/A,1,Places an order; calls checkout gRPC PlaceOrder which orchestrates payment and fulfilment
GET,/api/recommendations,external,yes,no,recommendation,none,frontend,src/frontend/pages/api/recommendations.ts,N/A,1,Returns product recommendations; calls recommendation gRPC ListRecommendations
GET,/api/ads,external,yes,no,ad,none,frontend,src/frontend/pages/api/ads.ts,N/A,1,Returns contextual ads for the current page; calls ad gRPC GetAds
GET,/api/currencies,external,yes,no,currency,none,frontend,src/frontend/pages/api/currencies.ts,N/A,1,Returns list of supported currencies; calls currency gRPC GetSupportedCurrencies
GET,/api/shipping,external,yes,no,shipping,none,frontend,src/frontend/pages/api/shipping.ts,N/A,1,Returns shipping cost estimate; calls shipping/quote HTTP service
POST,/api/data-collection,external,no,no,telemetry,Relay endpoint forwards raw browser OTLP payloads server-side; no payload validation,frontend,src/frontend/pages/api/data-collection.ts,N/A,1,Receives browser OTLP telemetry from the OpenTelemetry JS SDK and relays to the collector
GET,/api/product-reviews/[productId],external,yes,no,review,none,frontend,src/frontend/pages/api/product-reviews/[productId].ts,N/A,1,Returns reviews for a product; calls product-reviews gRPC ListProductReviews
POST,/api/assistant,external,yes,no,llm,LLM endpoint could be used for prompt injection or resource exhaustion,frontend,src/frontend/pages/api/assistant.ts,N/A,1,Proxies natural language Q&A to the llm service OpenAI-compatible API
gRPC,/hipstershop.ProductCatalogService/ListProducts,internal,no,no,product,none,product-catalog,src/product-catalog/main.go,N/A,1,Returns all products from the catalogue; reads from in-memory product JSON
gRPC,/hipstershop.ProductCatalogService/GetProduct,internal,no,no,product,none,product-catalog,src/product-catalog/main.go,N/A,1,Returns a single product by ProductId
gRPC,/hipstershop.ProductCatalogService/SearchProducts,internal,no,no,product,none,product-catalog,src/product-catalog/main.go,N/A,1,Searches products by query string; returns matching products
gRPC,/hipstershop.CartService/AddItem,internal,no,no,cart,none,cart,src/cart/src/services/CartService.cs,N/A,1,Adds a product item with quantity to the user cart stored in Valkey
gRPC,/hipstershop.CartService/GetCart,internal,no,no,cart,none,cart,src/cart/src/services/CartService.cs,N/A,1,Returns all cart items for the given userId from Valkey
gRPC,/hipstershop.CartService/EmptyCart,internal,no,no,cart,none,cart,src/cart/src/services/CartService.cs,N/A,1,Deletes all items from the user cart in Valkey
gRPC,/hipstershop.CheckoutService/PlaceOrder,internal,no,no,checkout|payment|shipping|email,PlaceOrder internally calls PaymentService with raw card data — ensure no card data is logged in traces,checkout,src/checkout/main.go,N/A,1,Orchestrates full order placement: currency conversion → cart read → shipping quote → payment charge → email → Kafka event
gRPC,/hipstershop.CurrencyService/GetSupportedCurrencies,internal,no,no,currency,none,currency,src/currency/src/currency_service.cc,N/A,1,Returns list of ISO-4217 currency codes supported for conversion
gRPC,/hipstershop.CurrencyService/Convert,internal,no,no,currency,none,currency,src/currency/src/currency_service.cc,N/A,1,Converts a Money value from one currency to another using static exchange rates
gRPC,/hipstershop.PaymentService/Charge,internal,no,no,payment,Credit card data (PAN + CVV) transmitted in gRPC request — must never appear in trace attributes or logs,payment,src/payment/charge.js,N/A,1,Charges a credit card for the order amount; returns a transaction_id on success
gRPC,/hipstershop.ShippingService/GetQuote,internal,no,no,shipping,none,shipping,src/shipping/src/main.rs,N/A,1,Calculates and returns a shipping cost quote for the given items and address
gRPC,/hipstershop.ShippingService/ShipOrder,internal,no,no,shipping,none,shipping,src/shipping/src/main.rs,N/A,1,Creates a shipping order and returns a tracking ID
gRPC,/hipstershop.EmailService/SendOrderConfirmation,internal,no,no,email,none,email,src/email/email_server.rb,N/A,1,Sends an HTML order confirmation email via Sinatra; called by checkout after order placement
gRPC,/hipstershop.RecommendationService/ListRecommendations,internal,no,no,recommendation,none,recommendation,src/recommendation/recommendation_server.py,N/A,1,Returns a list of recommended product IDs based on current cart contents; excludes items already in cart
gRPC,/hipstershop.AdService/GetAds,internal,no,no,ad,none,ad,src/ad/src/main/java/oteldemo/AdService.java,N/A,1,Returns contextual advertisements based on product categories in the request
gRPC,/oteldemo.ProductReviewService/ListProductReviews,internal,no,no,review,none,product-reviews,src/product-reviews/product_reviews_server.py,N/A,1,Returns paginated product reviews for a given product ID from PostgreSQL
gRPC,/oteldemo.ProductReviewService/CreateProductReview,internal,no,no,review,none,product-reviews,src/product-reviews/product_reviews_server.py,N/A,1,Creates a new product review and stores it in PostgreSQL
POST,/v1/chat/completions,internal,no,no,llm,Prompt injection risk if product data passed to LLM is user-controlled; resource exhaustion if called without rate limiting,llm,src/llm/app.py,N/A,1,OpenAI-compatible chat completions endpoint; answers natural language questions about products
POST,/getquote,internal,no,no,shipping,none,quote,src/quote/quote.php,N/A,1,HTTP endpoint that calculates a shipping cost quote based on items count and address; called by checkout
POST,/send_order_confirmation,internal,no,no,email,Email template renders user-supplied order data — review for injection,email,src/email/email_server.rb,N/A,1,HTTP endpoint (Sinatra) that renders and sends an order confirmation email; called by checkout
POST,/flagd.evaluation.v1.Service/ResolveBoolean,internal,no,no,flags,FlagD has no auth by default — any internal service can read or manipulate flags,flagd,src/flagd/demo.flagd.json,N/A,5,Resolves a boolean feature flag value; used by frontend/checkout/recommendation/ad/fraud-detection
POST,/flagd.evaluation.v1.Service/ResolveString,internal,no,no,flags,FlagD has no auth by default,flagd,src/flagd/demo.flagd.json,N/A,1,Resolves a string feature flag value
POST,/flagd.evaluation.v1.Service/ResolveFloat,internal,no,no,flags,FlagD has no auth by default,flagd,src/flagd/demo.flagd.json,N/A,1,Resolves a float feature flag value
POST,/flagd.evaluation.v1.Service/ResolveObject,internal,no,no,flags,FlagD has no auth by default,flagd,src/flagd/demo.flagd.json,N/A,1,Resolves an object (JSON) feature flag value
POST,/v1/traces,internal,no,no,telemetry,none,otel-collector,src/otel-collector/otelcol-config.yml,N/A,1,OTLP HTTP receiver for trace data on port 4318; accepts from all services and the Envoy proxy relay
POST,/v1/metrics,internal,no,no,telemetry,none,otel-collector,src/otel-collector/otelcol-config.yml,N/A,1,OTLP HTTP receiver for metric data on port 4318
POST,/v1/logs,internal,no,no,telemetry,none,otel-collector,src/otel-collector/otelcol-config.yml,N/A,1,OTLP HTTP receiver for log data on port 4318
gRPC,/opentelemetry.proto.collector.trace.v1.TraceService/Export,internal,no,no,telemetry,none,otel-collector,src/otel-collector/otelcol-config.yml,N/A,1,OTLP gRPC receiver for trace data on port 4317; used by all backend services
gRPC,/opentelemetry.proto.collector.metrics.v1.MetricsService/Export,internal,no,no,telemetry,none,otel-collector,src/otel-collector/otelcol-config.yml,N/A,1,OTLP gRPC receiver for metric data on port 4317
gRPC,/opentelemetry.proto.collector.logs.v1.LogsService/Export,internal,no,no,telemetry,none,otel-collector,src/otel-collector/otelcol-config.yml,N/A,1,OTLP gRPC receiver for log data on port 4317
GET,/,external,no,no,load-test,Load generator web UI publicly exposed — allows anyone to start/stop load tests and potentially DoS the system,load-generator,src/load-generator/locustfile.py,N/A,1,Locust web UI served on :8089; shows real-time load test statistics
POST,/swarm,external,no,no,load-test,Allows external parties to start load tests targeting the application,load-generator,src/load-generator/locustfile.py,N/A,1,Locust API endpoint to start a load test swarm with given user count and spawn rate
POST,/stop,external,no,no,load-test,none,load-generator,src/load-generator/locustfile.py,N/A,1,Locust API endpoint to stop the running load test
GET,/jaeger/api/traces,external,no,no,telemetry,Exposes internal trace IDs and operation names — information disclosure risk,jaeger,src/jaeger/config.yml,N/A,1,Jaeger HTTP API: returns traces matching query parameters (service, operation, tags, time range)
GET,/jaeger/api/services,external,no,no,telemetry,Reveals internal service names and topology,jaeger,src/jaeger/config.yml,N/A,1,Jaeger HTTP API: returns list of all instrumented service names
GET,/jaeger/api/operations,external,no,no,telemetry,Reveals internal operation names,jaeger,src/jaeger/config.yml,N/A,1,Jaeger HTTP API: returns operation names for a given service
GET,/flagd-ui/flags,external,no,yes,admin|flags,FlagD management UI publicly accessible — allows viewing and editing feature flags and fault injection settings,flagd-ui,src/flagd-ui/lib/flagd_ui_web/router.ex,N/A,1,FlagD UI Phoenix LiveView page; displays list of feature flags defined in demo.flagd.json
GET|POST,/flagd-ui/flags/[flag_id],external,no,yes,admin|flags,Allows modification of any feature flag without authentication — can inject faults into production services,flagd-ui,src/flagd-ui/lib/flagd_ui_web/router.ex,N/A,1,FlagD UI Phoenix LiveView edit page for a specific flag; updates flag state in FlagD
